id,name,category,linkedin,image
1,Olivia Plotnick,China Marketing,https://www.linkedin.com/in/olivia-plotnick/,https://media-exp1.licdn.com/dms/image/C5103AQERRq9H_G6zyA/profile-displayphoto-shrink_200_200/0?e=1586995200&v=beta&t=DCXpq5FKH3Tc6ydHa4PSDgDh5wojaG8ddpdL3F62dr4
2,Chloé Reuter,China Luxury,https://www.linkedin.com/in/chloereuter/,https://media-exp1.licdn.com/dms/image/C4D03AQEkvEuxoWCFLg/profile-displayphoto-shrink_200_200/0?e=1586995200&v=beta&t=-uWJV6QZzk3-SZ4qZ0v-CylmLoXiiRbaNz0yePpd1As
3,Kim (Nguyen) Leitzes,China KOL Marketing,https://www.linkedin.com/in/kimleitzes/,https://media-exp1.licdn.com/dms/image/C5603AQE25dt_wRcIVg/profile-displayphoto-shrink_200_200/0?e=1586995200&v=beta&t=tISIa-X_2_dU9G9jIdPJkgob_O-Jh_BWF48pks-2q5Y
4,Ashley Galina Dudarenok,China Marketing,https://www.linkedin.com/in/ashleygalina/,https://media-exp1.licdn.com/dms/image/C5103AQFHCxKSucikfg/profile-displayphoto-shrink_800_800/0?e=1586995200&v=beta&t=6sv4QlML9DH4UoayxU5Mz7bfJpxtB8pyS0d8UKJWhEc
5,Lauren Hallanan,China Marketing,https://www.linkedin.com/in/lauren-hallanan/,https://media-exp1.licdn.com/dms/image/C4D03AQFONa4M8S5Ztw/profile-displayphoto-shrink_200_200/0?e=1586995200&v=beta&t=Hdq52ADVt2wLFgSsqOnBr1PxcDCyD_m_9frjrOGl1U0
6,Michelle Wonderland,China Tech,https://www.linkedin.com/in/michellecm/,https://media-exp1.licdn.com/dms/image/C5103AQHnA5cNu1tOCQ/profile-displayphoto-shrink_200_200/0?e=1586995200&v=beta&t=w1w1ILI1h1d9bxvbRLorIx3iyF6MeyYHlUPagptnKHU
7,Jessica Miao,China Marketing,https://www.linkedin.com/in/jessicamiao/,https://media-exp1.licdn.com/dms/image/C5103AQHvFISCE1un1A/profile-displayphoto-shrink_200_200/0?e=1586995200&v=beta&t=Zi86MvAtTKea-Nq16Tko8WI8Ah7NjJ1DF-2Hom7gtLo
8,Miro Li,"China eCommerce
",https://www.linkedin.com/in/miroli/,https://media-exp1.licdn.com/dms/image/C5103AQFPpibS9kgSsA/profile-displayphoto-shrink_200_200/0?e=1586995200&v=beta&t=13SH4FAohcWYiRbQVGfvNt7kisGwWRtxxv9Ge_Oi97I
9,Sarah Yam,China Marketing,https://www.linkedin.com/in/sarahyam/,https://media-exp1.licdn.com/dms/image/C5103AQFfuez_M5KdAQ/profile-displayphoto-shrink_200_200/0?e=1586995200&v=beta&t=eZ2LGhZ898N-2XK0PBDXJZFaOI28PMtMlmD64Q_mXZI
10,Dao Nguyen,China Marketing,https://www.linkedin.com/in/dao-nguyen-2473204/,https://media-exp1.licdn.com/dms/image/C4E03AQEWmtiaHb6rXg/profile-displayphoto-shrink_200_200/0?e=1586995200&v=beta&t=8aEY229ppL-q_flIglWHgHKqyYdYIudzzgUW0qY4PZc
